Label,Statement,Party Affiliation,Credibility Score,Categorized Job Title,Categorized Subject,Categorized Context,Sentiment
false,Says the Annies List political group supports third-trimester abortions on demand.,Republican,-2.0,Government Officials,Social Issues,Personal and Campaign Communications,NEGATIVE
half-true,When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.,Democrat,1.5,Government Officials,Environment and Energy,Public Speaking,NEGATIVE
mostly-true,"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.""",Democrat,0.7441860465116279,Government Officials,Foreign Policy and Security,Other,POSITIVE
true,The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.,Republican,0.2727272727272727,Government Officials,Other,Print and Online Publications,NEGATIVE
half-true,"I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.",Democrat,0.7441860465116279,Government Officials,Social Issues,Broadcast Media,NEGATIVE
mostly-true,Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.,Republican,2.0,Government Officials,Environment and Energy,Print and Online Publications,NEGATIVE
mostly-true,"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.",Democrat,0.1875,Government Officials,Politics and Government,Public Speaking,NEGATIVE
half-true,"Since 2000, nearly 12 million Americans have slipped out of the middle class and into poverty.",Independent,0.956989247311828,Government Officials,Economy and Finance,Social Media and Online Platforms,NEGATIVE
false,"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.",Republican,0.11363636363636363,Government Officials,Politics and Government,Broadcast Media,NEGATIVE
barely-true,Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.,Media,0.06818181818181818,Media Professionals,Healthcare,Other,NEGATIVE
half-true,"In this last election in November, ... 63 percent of the American people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote.",Independent,0.956989247311828,Government Officials,Politics and Government,Broadcast Media,NEGATIVE
true,McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' ,Democrat,0.7441860465116279,Government Officials,Politics and Government,Broadcast Media,NEGATIVE
half-true,"Water rates in Manila, Philippines, were raised up to 845 percent when a subsidiary of the World Bank became a partial owner.",Democrat,0.03333333333333333,Others,Economy and Finance,Legislative and Official Proceedings,NEGATIVE
mostly-true,"Almost 100,000 people left Puerto Rico last year.",Democrat,0.0,Government Officials,Economy and Finance,Broadcast Media,NEGATIVE
false,Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.,Republican,-0.42857142857142855,Government Officials,Economy and Finance,Broadcast Media,NEGATIVE
mostly-true,The United States has the highest corporate tax rate in the free world.,Other,0.4,Media Professionals,Economy and Finance,Other,POSITIVE
mostly-true,We just had the best year for the auto industry in America in history.,Democrat,0.7330316742081447,Government Officials,Economy and Finance,Public Speaking,POSITIVE
barely-true,Says Mitt Romney wants to get rid of Planned Parenthood.,Other,0.5,Legal & Advocacy,Social Issues,Broadcast Media,NEGATIVE
false,I dont know who (Jonathan Gruber) is.,Democrat,-0.25,Others,Healthcare,Public Speaking,NEGATIVE
mostly-true,Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.,Democrat,0.7330316742081447,Government Officials,Social Issues,Public Speaking,NEGATIVE
half-true,Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections.,Republican,-1.0,Others,Other,Print and Online Publications,POSITIVE
false,"ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn.",Other,-0.5,Government Officials,Foreign Policy and Security,Social Media and Online Platforms,NEGATIVE
mostly-true,Youth unemployment in minority communities is about 40 to 45 percent.,Republican,-0.5,Government Officials,Social Issues,Broadcast Media,NEGATIVE
true,Says Paul Ryan is still endorsing Trump.,Democrat,0.7330316742081447,Government Officials,Politics and Government,Social Media and Online Platforms,POSITIVE
barely-true,"If you look at states that are right to work, they constantly do not have budget deficits and they have very good business climates.",Republican,0.5,Government Officials,Economy and Finance,Broadcast Media,POSITIVE
false,What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.,Republican,-0.75,Government Officials,Environment and Energy,Personal and Campaign Communications,NEGATIVE
mostly-true,We cut business taxes so today 70 percent of our businesses dont pay a business tax.,Republican,0.4076923076923077,Government Officials,Economy and Finance,Public Speaking,NEGATIVE
mostly-true,Says Mark Pryor votes with Obama 93 percent of the time.,Republican,-0.11538461538461539,Government Officials,Other,Broadcast Media,POSITIVE
true,We have a federal government that thinks they have the authority to regulate our toilet seats.,Republican,-0.17117117117117117,Government Officials,Economy and Finance,Public Speaking,NEGATIVE
true,Austin is a city that has basically doubled in size every 25 years or so since it was founded.,Democrat,1.0833333333333333,Government Officials,Politics and Government,Public Speaking,POSITIVE
true,"Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt.",Republican,1.0,Government Officials,Other,Broadcast Media,POSITIVE
false,Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.,Republican,0.43023255813953487,Government Officials,Law and Ethics,Public Speaking,NEGATIVE
pants-fire,Says Ohio budget item later signed into law by Gov. John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe.,Other,0.17391304347826086,Media Professionals,Social Issues,Personal and Campaign Communications,NEGATIVE
false,We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' ,Republican,0.9166666666666666,Government Officials,Foreign Policy and Security,Public Speaking,NEGATIVE
half-true,African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.,Independent,0.956989247311828,Government Officials,Social Issues,Broadcast Media,NEGATIVE
false,President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.,Republican,-0.47115384615384615,Government Officials,Politics and Government,Broadcast Media,NEGATIVE
barely-true,Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country,Republican,-0.07692307692307693,Government Officials,Healthcare,Broadcast Media,NEGATIVE
false,Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.,Republican,-0.9117647058823529,Legal & Advocacy,Social Issues,Public Speaking,NEGATIVE
true,"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history",Democrat,1.25,Government Officials,Economy and Finance,Other,NEGATIVE
barely-true,"We have towns in West Texas that are out of water, that are having to truck in water.",Republican,-0.75,Government Officials,Environment and Energy,Public Speaking,NEGATIVE
half-true,"In Georgia, women earn 82 cents for every dollar earned by men.",Democrat,1.0,Others,Economy and Finance,Social Media and Online Platforms,NEGATIVE
half-true,A federal system that verifies employees are authorized to work in the U.S. is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time.,Other,1.0,Government Officials,Social Issues,Public Speaking,NEGATIVE
barely-true,"They were going to build the wall a while ago, not so long ago, like in 06. And they couldnt get environmental impact statements.",Republican,-0.7806748466257669,Government Officials,Social Issues,Broadcast Media,NEGATIVE
false,Sen. Obama's campaign announced that he's choosing his cabinet.,Republican,0.1267123287671233,Government Officials,Politics and Government,Public Speaking,POSITIVE
mostly-true,"Said he's the only Republican candidate ""who's actually turned around a government economy.""",Republican,-0.0625,Legal & Advocacy,Other,Broadcast Media,NEGATIVE
true,"On military recruiters at Harvard, Elena Kagan ""took a position and the Supreme Court ruled unanimously that she was wrong.""",Republican,0.5,Government Officials,Foreign Policy and Security,Broadcast Media,POSITIVE
false,"Under Mayor Cicilline, [Providence] was a sanctuary city.",Other,-2.5,Media Professionals,Foreign Policy and Security,Personal and Campaign Communications,POSITIVE
pants-fire,Transgender individuals in the U.S. have a 1-in-12 chance of being murdered.,Democrat,-0.5,Government Officials,Social Issues,Legislative and Official Proceedings,NEGATIVE
true,"At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.",Republican,0.11363636363636363,Government Officials,Other,Public Speaking,POSITIVE
false,"Says the man who rushed the stage at him in Dayton, Ohio, had chatter about ISIS, or with ISIS in his social media posts.",Republican,-0.7806748466257669,Government Officials,Social Issues,Broadcast Media,NEGATIVE
barely-true,Alex Sink funneled three quarters of a million dollars in no-bid contracts to Bank of America.,Republican,0.4076923076923077,Government Officials,Economy and Finance,Personal and Campaign Communications,NEGATIVE
true,"If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor.",Democrat,-0.36,Government Officials,Economy and Finance,Public Speaking,NEGATIVE
barely-true,"Under Obama, home values in Florida collapsed, construction jobs were lost and the state had a high foreclosure rate.",Republican,0.11363636363636363,Government Officials,Other,Personal and Campaign Communications,NEGATIVE
mostly-true,"The new Arizona immigration law ""says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person.""",Democrat,2.0,Government Officials,Social Issues,Broadcast Media,NEGATIVE
mostly-true,The only time in our history when the debt has been higher than this was the end of World War II.,Other,2.0,Government Officials,Other,Public Speaking,NEGATIVE
mostly-true,The cost of health care is now the single-biggest factor driving down the federal budget deficit.,Democrat,0.7441860465116279,Government Officials,Politics and Government,Public Speaking,NEGATIVE
true,"During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent.",Media,0.06818181818181818,Media Professionals,Economy and Finance,Other,NEGATIVE
false,On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings.,Democrat,1.0,Legal & Advocacy,Law and Ethics,Print and Online Publications,NEGATIVE
half-true,I think it is unacceptable for the Chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of Europe put together -- forget the United States.,Democrat,0.75,Government Officials,Environment and Energy,Print and Online Publications,NEGATIVE
true,Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control.,Democrat,1.0555555555555556,Government Officials,Healthcare,Other,POSITIVE
half-true,"At some point in their lives, 99% of women use birth control.",Democrat,1.0,Legal & Advocacy,Other,Other,POSITIVE
