Credibility_Label,Party_Affiliation,Past_Credibility_Score,Job_Title,Subject,Context,Sentiment,Subjectivity
false,Republican,-2.0,Government Officials,Social Issues,Personal and Campaign Communications,NEGATIVE,OBJECTIVE
half-true,Democrat,1.5,Government Officials,Environment and Energy,Public Speaking,NEGATIVE,OBJECTIVE
mostly-true,Democrat,0.7441860465116279,Government Officials,Foreign Policy and Security,Other,POSITIVE,OBJECTIVE
true,Republican,0.2727272727272727,Government Officials,Other,Print and Online Publications,NEGATIVE,OBJECTIVE
half-true,Democrat,0.7441860465116279,Government Officials,Social Issues,Broadcast Media,NEGATIVE,SUBJECTIVE
mostly-true,Republican,2.0,Government Officials,Environment and Energy,Print and Online Publications,NEGATIVE,OBJECTIVE
mostly-true,Democrat,0.1875,Government Officials,Politics and Government,Public Speaking,NEGATIVE,OBJECTIVE
half-true,Independent,0.956989247311828,Government Officials,Economy and Finance,Social Media and Online Platforms,NEGATIVE,OBJECTIVE
false,Republican,0.11363636363636363,Government Officials,Politics and Government,Broadcast Media,NEGATIVE,SUBJECTIVE
barely-true,Media,0.06818181818181818,Media Professionals,Healthcare,Other,NEGATIVE,OBJECTIVE
half-true,Independent,0.956989247311828,Government Officials,Politics and Government,Broadcast Media,NEGATIVE,OBJECTIVE
true,Democrat,0.7441860465116279,Government Officials,Politics and Government,Broadcast Media,NEGATIVE,OBJECTIVE
half-true,Democrat,0.03333333333333333,Others,Economy and Finance,Legislative and Official Proceedings,NEGATIVE,OBJECTIVE
mostly-true,Democrat,0.0,Government Officials,Economy and Finance,Broadcast Media,NEGATIVE,OBJECTIVE
false,Republican,-0.42857142857142855,Government Officials,Economy and Finance,Broadcast Media,NEGATIVE,OBJECTIVE
mostly-true,Other,0.4,Media Professionals,Economy and Finance,Other,POSITIVE,OBJECTIVE
mostly-true,Democrat,0.7330316742081447,Government Officials,Economy and Finance,Public Speaking,POSITIVE,SUBJECTIVE
barely-true,Other,0.5,Legal & Advocacy,Social Issues,Broadcast Media,NEGATIVE,OBJECTIVE
false,Democrat,-0.25,Others,Healthcare,Public Speaking,NEGATIVE,SUBJECTIVE
